"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,"CSE1L","DANCR","JAZF1","TMED7",NA
NA,NA,"KIF22","MAP1LC3B","PLEKHA5","ITGA2",NA
NA,NA,"HSPB11","AIMP1","GPC6","TRAM2",NA
NA,NA,"SNRPD1","GDNF","MIR181A1HG","MCAM",NA
NA,NA,"DIAPH3","AAMDC","ARHGEF28","LTBP1",NA
NA,NA,"HMGA1","FBXO22","MCU","CDCP1",NA
NA,NA,"RBBP7","PPP1R15A","SOX5","SLC38A2",NA
NA,NA,"ARL6IP6","FHL2","HIP1","MME",NA
NA,NA,"EBP","DUSP14","ANKRD36","SERINC1",NA
NA,NA,"PPM1G","RNF114","PRKCE","IMPAD1",NA
NA,NA,"MIS18BP1","LNCOG","RARB","STC2",NA
NA,NA,"MZT2A","GLA","COBLL1","DST",NA
NA,NA,"C15orf48","DSEL","MAML2","MSMO1",NA
NA,NA,"FST","CHMP2B","AGAP1","P3H1",NA
NA,NA,"KPNB1","GNL3","KANSL1","PSD3",NA
NA,NA,"HNRNPA1","HBP1","MBD5","NT5E",NA
NA,NA,"CDA","MRPS18C","DOCK5","SLC2A3",NA
NA,NA,NA,"SAT1","TRPC4","SERPINH1",NA
NA,NA,NA,"SNX2","DGKI","DNAJC10",NA
NA,NA,NA,"SAFB2","HERC4","ATP2B1",NA
NA,NA,NA,"CENPW","EHMT1","SPPL2A",NA
NA,NA,NA,"ADAMTS1","THSD4","ERO1A",NA
NA,NA,NA,"DCXR","PBX1","DCN",NA
NA,NA,NA,"GTF2B","CHST11","GNPTAB",NA
NA,NA,NA,"BAG1","MGAT5","SLC30A7",NA
NA,NA,NA,"CSRP2","RABGAP1L","LMAN1",NA
NA,NA,NA,"KHDRBS3","FNIP1","TMEM123",NA
NA,NA,NA,"RPS19","DDAH1","PTPRJ",NA
NA,NA,NA,"LLPH","NCKAP5","HMGA2",NA
NA,NA,NA,"LURAP1L","MEG3","DNAJB14",NA
NA,NA,NA,"OCIAD2","UBAP2","PLOD3",NA
NA,NA,NA,"SYF2","LPP","PAPSS2",NA
NA,NA,NA,"RSL1D1","DIP2B","OS9",NA
NA,NA,NA,"ZNF24","TENT2","WLS",NA
NA,NA,NA,"EXOSC4","LINC01060","TNFRSF11B",NA
NA,NA,NA,"CD55","BICD1","TMEM131",NA
NA,NA,NA,"TNFRSF10B","ITPR2","PAG1",NA
NA,NA,NA,"EIF6","PAN3","TRIO",NA
NA,NA,NA,"CDC5L","DIAPH2","SERPINE1",NA
NA,NA,NA,"RSRC2","CDH13","ABHD2",NA
NA,NA,NA,"ESF1","NCEH1","SEC63",NA
NA,NA,NA,"IL24","RIC1","ITGA5",NA
NA,NA,NA,"SREK1IP1","RORA","SLC35F5",NA
NA,NA,NA,"PRPF38B","DOCK1","ANKLE2",NA
NA,NA,NA,"NOP56","SMAD3","MPZL1",NA
NA,NA,NA,"PITHD1","CDK17","COL6A2",NA
NA,NA,NA,"ATP6V1B2","GDNF","MT-ATP8",NA
NA,NA,NA,"TIMM50","FBXW7","PLOD1",NA
NA,NA,NA,"ARL8B","ADK","ATP13A3",NA
NA,NA,NA,"UPP1","PBX3","COL7A1",NA
NA,NA,NA,"HSPA9","ATXN1","C1S",NA
NA,NA,NA,"JPT1","AFF1","PDGFRB",NA
NA,NA,NA,"RIOK3","PEAK1","TPCN1",NA
NA,NA,NA,"SEPHS2","RICTOR","CLDN11",NA
NA,NA,NA,"PHPT1","MRTFA","HSD17B12",NA
NA,NA,NA,"STK17A","WDFY3","TIMP3",NA
NA,NA,NA,"SARS","IMMP2L","EMILIN1",NA
NA,NA,NA,"NDUFA5","DYRK1A","SORT1",NA
NA,NA,NA,"UPF3A","ANKRD28","PTK7",NA
NA,NA,NA,"CHCHD7","JMJD1C","MALAT1",NA
NA,NA,NA,"ZMAT2","CAMK2D","RANBP2",NA
NA,NA,NA,"ARL6IP1","PTPRJ","DDAH1",NA
NA,NA,NA,"SLAIN2","SEMA5A","SEMA5A",NA
NA,NA,NA,"ATP6V1C1","ERC1","TGFBI",NA
NA,NA,NA,"PLEKHA5","PITPNC1","STT3B",NA
