Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0067	0.270697882888544	0.140566577294575	0.102065920607249	0.0984093033836899	0.0524666004462307	0.0875263245317208	0.022976547449297	0.0229559630189482	0.197525756256271	0.122483109237357	0.011216014886117	9999	0.0888957755737793	0.999602031036922	1.12889
U0069	0.298939422789806	0.169887226321489	0.136994769356553	0.087915155166388	0.0664098869954987	0.0344865411756897	0.0280385472585748	0.0215416143949286	0.213273798190548	0.134891498389209	0.00955153996131577	9999	0.0861153852959936	1.00242751469938	1.20193
U0071	0.274295350092587	0.133659492714587	0.0990775978911526	0.102420003330232	0.0521800979255127	0.0679484881919779	0.0323960261662125	0.0196395912640469	0.203475386560332	0.118033784876963	0.0102341809863965	9999	0.0798953352390703	1.00123299724861	1.11336
U0072	0.250117174954024	0.126428163260957	0.112646811272649	0.0750578481721612	0.045850642167029	0.0283906861614359	0.0202891468358851	0.0189268111441691	0.175456141948916	0.11284238327629	0.00919019080648295	9999	0.0551268033435954	1.00400855598905	0.975196
U0073	0.316718963909591	0.158166566879969	0.127602718929273	0.10140277976616	0.0662813851885549	0.0464736829071377	0.0269036728366288	0.0272585419092083	0.220695877846741	0.164290677783132	0.0114951320436038	9999	0.0967733810167415	1.00179559513157	1.26729
U0074	0.358281555413434	0.191434166488056	0.138764086973446	0.123532220589543	0.103411496490455	0.0625219619198602	0.0839072077978726	0.0246887164269482	0.28187227178976	0.162000693716715	0.0141256223939101	9999	0.100798413778365	1.00026107170949	1.54454
U0076	0.43053401056347	0.224636457504373	0.18752512930097	0.153014430398381	0.111931247268701	0.122781267273357	0.0517760919794878	0.0380429574415052	0.332155217706972	0.206334588756894	0.0162186018058876	9999	0.0860540278301297	1.00020031769423	1.87495
U0077	0.308198496053209	0.170969579500282	0.122304543807122	0.113366875406745	0.0695541259670118	0.0973776624709333	0.0344811415321379	0.0241002655212611	0.239579740941957	0.141619211406098	0.0130083573932437	9999	0.104377798607985	0.998447327449919	1.33456
U0078	0.174433083432092	0.100335934258452	0.0704753545526004	0.0568552477187223	0.0363382719455125	0.0277701451427394	0.0151608725641586	0.0117400054718635	0.127692527844291	0.0770671952052523	0.00589036186431582	9999	0.0341854269985159	1.00419965381861	0.703759
U0080	0.518610609590112	0.245148793920694	0.185992721942302	0.186684600961139	0.114743960840449	0.103623823798616	0.0586561391834387	0.0381986412795517	0.378222498642837	0.232919579968751	0.01727862987211	9999	0.076870914223801	1.00218279953068	2.08008
U0083	0.607367709531322	0.299418021082815	0.257292821792351	0.195076685657859	0.120989937622958	0.115651623089241	0.0764602665539123	0.0429542855473524	0.446710305460885	0.267182818917992	0.0274055247433134	9999	0.0279246129607027	1.00413182034214	2.45651
U0086	0.273713284441228	0.145639690646257	0.0995199083461978	0.093313474578951	0.0575058822264132	0.0943806901780305	0.0322552573163012	0.0197334152661072	0.20081828194865	0.114995244071966	0.0113048709798986	9999	0.111870110776241	0.997171423602321	1.14318
U0087	0.257767340494437	0.143498013175429	0.103622514081086	0.0819624359249273	0.0482704684552272	0.044665772011464	0.024873611173839	0.0170374167807537	0.18116202733152	0.11008723233058	0.00857316824073622	9999	0.0738921896315644	1.0022863972032	1.02152
U0088	0.385101631823938	0.204870944837825	0.146626670441092	0.126948032570996	0.0892516317852692	0.0635731879053741	0.0401322641746356	0.0275762208491757	0.278224847417101	0.193610545179821	0.0151040230147725	9999	0.072567677216628	1.00240290607003	1.57102
U0089	0.239745136994583	0.129409623797607	0.0882339471181784	0.0778094387341144	0.0529332104363007	0.034707567420543	0.0262979187054004	0.0164659806917273	0.171578172553734	0.107001657734433	0.00889034581337889	9999	0.0947339438835871	1.00197056687989	0.953073
U0090	0.31140383448755	0.172538476376409	0.128138331680741	0.10868291159094	0.0769272791507759	0.0835691239599163	0.0397809908358768	0.0226748260887672	0.239440816603299	0.144992579366562	0.0130308298591635	9999	0.119746149803517	0.99810791247793	1.34118
U0091	0.456054991483882	0.238255588033605	0.186493026087081	0.138826945185837	0.120345186227005	0.063727611651804	0.0592417098759295	0.0360434041895221	0.330722259512775	0.213487142896099	0.0166821348564615	9999	0.0651979164942943	1.00290911440836	1.85988
